"X","Y","ID","Av_NOx_100m","Av_traffic_100m","Building_100m","Open.Area_100m","Residential_100m","Pop_100m","Roads_100m","Benzene"
608917,5031018,91,0.182908143,1.747338105,1333.257783,0,31374.93713,430.6178285,455.3887817,0.797994129285572
609410,5033350,92,0,0,1241.659904,0,0,0.147851667,250.8517866,0.713177377421846
609477,5035535,79,52.37782726,773.3809088,4844.77508,0,0,0.083448321,376.5015512,0.958708461496073
609834,5038096,71,26.95023234,459.939508,2719.021427,0,30320.2737,194.1152972,769.797592,0.918794917827193
609889,5052022,10,71.67667111,578.2712791,11429.72061,3795.097886,14954.67811,43.70465719,439.6155211,1.51221348053598
609892,5044510,34,21.86437502,106.9167205,9923.6664,0,30706.03856,353.6431311,363.2409208,1.30225137740669
609895,5048005,24,19.67642363,119.661975,2702.402685,2811.24452,26979.82859,230.0051849,348.2085407,1.66747371084861
610397,5045474,33,27.21080831,153.4203049,1413.08721,0,31374.93713,233.3268021,423.3189243,1.37995205766572
610432,5055978,13,1.433769238,17.53566133,0,0,31374.93713,164.6185604,501.0980443,0.864346169997223
610435,5054487,12,13.02423266,118.5271185,2420.968449,0,31374.93713,230.2122303,635.8442199,1.29388380451092
610439,5042987,36,9.575368826,135.3089843,4599.671677,0,9538.236252,301.0927166,339.4896671,1.00305800974285
610447,5048850,25,11.07841536,166.7124756,4345.928003,0,2790.467499,314.1759035,451.6214118,1.7015031141562
610552,5041122,68,103.3599489,699.7598945,515.8256849,0,0,65.33690066,399.0475834,1.49952284921101
610798,5032507,77,39.68457518,564.1755511,1796.462848,0,17010.41822,110.1441069,441.9694847,0.821028549549023
610850,5043971,35,26.89123501,579.5487272,7514.614707,2225.741717,29115.03059,146.6692557,973.6504325,1.1941431240671
610863,5035505,75,219.9250028,4012.825045,2722.560129,11809.19185,18979.80545,32.11382772,1446.459534,1.13994319806201
611121,5056351,14,2.556227712,10.55352516,34.70597096,0,31374.93713,182.8533716,492.8762856,1.06196640643614
611350,5046538,26,26.49253634,298.9494091,9098.988476,0,29215.32428,407.1724095,618.8942825,1.55937912313204
611375,5042442,37,57.70863268,1128.02012,8338.567121,83.57928437,21724.64362,465.9059225,802.7482213,1.48240819698791
611386,5040458,40,21.20201605,261.9467683,12935.15005,0,31374.93713,956.8432538,626.3302669,1.3599652467703
611739,5050874,11,304.3591071,2379.385762,0,14797.72675,0,56.61257938,854.5816312,2.17275301676755
611853,5034005,76,11.74165694,46.76066798,7280.575762,0,31374.93713,429.1705869,480.4826509,0.817584801009048
611945,5038524,70,27.57736244,488.9111486,7225.355588,0,31374.93713,328.8986944,583.7193602,0.959991864950467
612311,5036424,73,325.1354839,9815.020326,1904.307784,16352.83699,13372.84043,191.5571515,1004.887062,1.44960414806486
612419,5048498,27,37.80950109,689.5758846,194.0848438,1538.724784,29795.33944,382.3426756,857.7364199,1.58027375450371
612444,5035457,74,18.17160166,531.0823797,3739.445977,5808.687504,902.3565808,88.88320849,282.3717417,0.892418849744588
612509,5044008,32,50.74740004,954.682403,4653.230163,0,17411.27369,230.0650012,426.991687,1.44509498877632
612808,5042073,38,38.49698319,626.4725171,9110.478188,0,19551.18843,308.3021969,544.2586972,1.58385665461565
612886,5045388,31,46.58511687,818.6608865,6842.715856,2505.254672,28869.68246,422.3953462,662.195752,1.65744175265029
612985,5040479,39,11.0905738,414.5572643,8866.596766,0,13794.62838,131.8155444,741.2995211,1.16121179526436
613141,5043494,67,12.37377638,284.5944246,8875.587667,0,17028.90513,306.726664,661.3580359,1.53578272425068
613467,5049945,9,6.064517044,76.35441353,3134.444149,0,18985.54023,263.5656397,457.7045862,1.89191881978472
613827,5048033,28,9.289931259,126.0772654,4618.288279,0,19192.97629,318.9861131,462.0870674,1.54938909789571
613888,5044500,30,8.647413244,131.466604,9556.52711,0,19191.41941,416.6374636,492.7914916,1.46152887133799
614386,5051540,7,3.602035027,33.18849723,4078.20481,0,12229.03878,77.56359078,425.8684426,1.98630695404101
614806,5049373,8,0,0,2443.581114,2466.626454,3112.545641,119.9602331,0,2.15431978469885
614916,5046032,29,83.5567208,1728.72232,3042.221032,5365.651185,17151.20927,93.72030248,972.4871212,1.43923575349782
616013,5050797,6,4.537050841,44.53529369,2903.95133,0,121.2890488,90.24174507,344.7222068,2.2687501884346
616383,5056023,3,5.093109519,77.61816289,0,0,31374.93713,126.6242197,598.8069978,1.78280877006058
616901,5058029,2,1.818226589,24.17048103,4366.418962,0,31374.93713,168.1982796,534.405255,0.908440224666377
617016,5055277,1,7.691049317,52.13424714,0,2003.772006,1969.686197,139.8755493,536.298184,1.92718014983258
