"X","Y","ID","Av_NOx_100m","Av_traffic_100m","Building_100m","Open.Area_100m","Residential_100m","Pop_100m","Roads_100m","Benzene"
581894,5029276,104,6.969744876,36.85052133,0,0,15772.58699,13.24849458,330.1730484,0.799012646826259
583841,5030716,103,11.54230982,118.4175333,0,0,8190.217032,3.820627267,299.8847949,0.801488111275563
584403,5034740,102,6.384733366,109.4530893,0,7153.980131,6450.581018,14.57002414,446.2528147,0.837643489342896
587494,5032504,105,159.4505807,2305.730514,0,13854.01007,17520.92706,57.32635981,948.1629788,1.05512680584434
587539,5034402,101,5.235821479,77.90935382,0,90.01328058,24224.81201,117.5307969,584.8173126,1.06340732003212
588421,5037001,99,0.100365479,1.949880195,2232.49167,0,20881.69118,114.455979,377.518334,1.10422378415711
589317,5034047,100,41.33140309,300.5225183,5469.279111,30936.74831,0,52.41557176,539.4998551,1.07605042081878
589944,5031496,106,16.77952298,259.3282416,933.9193104,326.3129749,19110.36965,57.96221918,560.6749054,1.03594865337046
591854,5035898,95,31.73779864,470.4404263,9792.304306,1449.441058,0,8.950028823,475.6589136,1.05644102805691
591857,5039443,97,8.906288994,200.9458693,0,314.6861948,31060.25094,94.73952707,611.2106134,1.18327610060868
592609,5032047,107,3.165577933,34.47549422,1733.592058,200.3434605,24154.79804,57.72494852,260.9905385,0.953111812436982
593886,5037662,94,76.49602297,280.3603117,5501.276902,3183.91474,0,37.45988073,388.194105,1.22505279088988
594465,5039306,93,7.647802053,45.10872518,3763.456825,0,31374.93713,53.83195101,400.4568668,1.20885174628594
600042,5042415,63,17.66841132,310.8332668,6542.682239,866.1408581,30508.79627,481.6779758,543.5754926,1.37582726032791
600304,5032508,86,3.945793359,81.26648196,0,7.216261208,18575.96472,93.25890757,459.6930793,0.950142732875269
601401,5043522,62,38.34000065,889.5063613,768.8345819,408.6325412,30910.97666,159.3175639,727.803629,1.60689965493118
601778,5041161,64,24.1018866,128.8608446,2636.505957,1781.983854,169.194067,146.3255476,321.8722585,1.12171730840665
602405,5038920,65,0,0,4738.151931,421.7363273,26528.57695,105.1227126,228.1551275,0.999641971797642
602421,5031911,87,9.086986953,212.3784847,5546.018169,13254.70832,9208.475351,76.0635769,360.4046026,0.995236152695721
602714,5033431,85,340.2818327,1674.428748,2408.191154,5126.288663,23135.50888,179.3398636,929.1868389,1.18716565263176
602810,5032672,72,1.235718203,18.72647051,4669.125683,0,31374.93713,224.7154882,579.0015513,1.71660460242276
602923,5043017,61,37.56117198,310.18378,2653.091004,4592.737312,26782.19982,402.7711844,1055.707637,1.61708048419675
603391,5043102,60,17.49593644,457.0363296,2028.162498,4644.782174,3837.306239,489.9770281,736.1335761,1.63489584406376
604386,5039652,55,718.8810556,12528.33156,4661.96853,13567.7921,9904.705861,13.8911999,1127.49789,1.17710754556759
604432,5035081,84,3.592330804,69.61998927,0,0,28325.83605,129.7952221,364.5407755,0.72074101230182
