lon,lat,id,eu_dem_v11_E40N10,eu_dem_v11_E50N20,eu_dem_v11_E20N20,eu_dem_v11_E30N10,eu_dem_v11_E40N20,eu_dem_v11_E20N10,eu_dem_v11_E50N30,eu_dem_v11_E30N20,eu_dem_v11_E50N10,eu_dem_v11_E40N30,eu_dem_v11_E30N40,eu_dem_v11_E30N30
10.005,50.025,522773,,,,,276.48682,,,,,,,
-0.736,41.976,457708,,,,,,,,343.90033,,,,
-0.720,41.886,457709,,,,,,,,348.37723,,,,
-0.898,42.868,457698,,,,,,,,1005.03680,,,,
-0.882,42.779,457699,,,,,,,,906.87201,,,,
-0.931,43.047,457696,,,,,,,,802.92755,,,,
-0.915,42.958,457697,,,,,,,,1674.63403,,,,
-0.833,42.511,457702,,,,,,,,775.19946,,,,
-0.816,42.422,457703,,,,,,,,736.00671,,,,
-0.865,42.690,457700,,,,,,,,695.96271,,,,
-0.849,42.601,457701,,,,,,,,637.19934,,,,
-0.520,40.724,457722,,,,,,,,1197.55188,,,,
-0.505,40.634,457723,,,,,,,,1337.49890,,,,
-0.550,40.903,457720,,,,,,,,800.24756,,,,
-0.535,40.813,457721,,,,,,,,980.30676,,,,
-0.460,40.366,457726,,,,1596.83228,,,,,,,,
-0.446,40.276,457727,,,,1405.86279,,,,,,,,
-0.490,40.545,457724,,,,,,,,1585.36267,,,,
-0.475,40.455,457725,,,,1628.38660,,,,,,,,
-0.642,41.439,457714,,,,,,,,272.56955,,,,
-0.627,41.350,457715,,,,,,,,267.72623,,,,
-0.673,41.618,457712,,,,,,,,292.74353,,,,
-0.658,41.529,457713,,,,,,,,171.00842,,,,
-0.581,41.082,457718,,,,,,,,606.41382,,,,
-0.565,40.992,457719,,,,,,,,589.50250,,,,
-0.611,41.261,457716,,,,,,,,331.38971,,,,
-0.596,41.171,457717,,,,,,,,419.10318,,,,
-1.242,44.650,457678,,,,,,,,,,,,
-1.224,44.561,457679,,,,,,,,72.16928,,,,
-1.278,44.828,457676,,,,,,,,,,,,
-1.260,44.739,457677,,,,,,,,,,,,
-1.032,43.582,457690,,,,,,,,75.55887,,,,
-1.015,43.493,457691,,,,,,,,13.37711,,,,
-1.067,43.760,457688,,,,,,,,38.12171,,,,
-1.050,43.671,457689,,,,,,,,32.09396,,,,
-0.965,43.225,457694,,,,,,,,258.40259,,,,
-0.948,43.136,457695,,,,,,,,513.75592,,,,
-0.998,43.403,457692,,,,,,,,113.23756,,,,
-0.982,43.314,457693,,,,,,,,79.32011,,,,
-1.171,44.294,457682,,,,,,,,38.82581,,,,
-1.154,44.205,457683,,,,,,,,31.74460,,,,
-1.207,44.472,457680,,,,,,,,51.36996,,,,
-1.189,44.383,457681,,,,,,,,15.96300,,,,
-1.101,43.938,457686,,,,,,,,81.24675,,,,
-1.084,43.849,457687,,,,,,,,84.61732,,,,
-1.136,44.116,457684,,,,,,,,55.36872,,,,
-1.119,44.027,457685,,,,,,,,74.36145,,,,
-1.940,47.848,457642,,,,,,,,37.44000,,,,
-1.919,47.759,457643,,,,,,,,80.28000,,,,
-1.982,48.025,457640,,,,,,,,93.80000,,,,
-1.961,47.937,457641,,,,,,,,84.32000,,,,
-1.857,47.493,457646,,,,,,,,50.32610,,,,
-1.836,47.405,457647,,,,,,,,63.93534,,,,
-1.898,47.671,457644,,,,,,,,25.44000,,,,
-1.877,47.582,457645,,,,,,,,55.35617,,,,
-2.110,48.557,457634,,,,,,,,47.63697,,,,
-2.088,48.468,457635,,,,,,,,95.00681,,,,
-2.132,48.645,457633,,,,,,,,,,,,
-2.024,48.202,457638,,,,,,,,99.92000,,,,
-2.003,48.114,457639,,,,,,,,112.56000,,,,
-2.067,48.380,457636,,,,,,,,51.56000,,,,
-2.045,48.291,457637,,,,,,,,75.20000,,,,
-1.616,46.428,457658,,,,,,,,4.42790,,,,
-1.656,46.606,457656,,,,,,,,50.83607,,,,
-1.636,46.517,457657,,,,,,,,54.59310,,,,
-1.578,46.251,457660,,,,,,,,,,,,
