,ID,X,Y,ORIG_FID,Av_NOx_50m,Av_traffic_50m,Building_50m,Open Area_50m,Residential_50m,Resource and Industrial_50m,Waterbody_50m,Parks and Recreational_50m,Government and Institutional_50m,Commercial_50m,Pop_50m,Roads_50m,Tot_NOx_50m,Tot_traffic_50m,Av_NOx_100m,Av_traffic_100m,Building_100m,Open Area_100m,Residential_100m,Resource and Industrial_100m,Waterbody_100m,Parks and Recreational_100m,Government and Institutional_100m,Commercial_100m,Pop_100m,Roads_100m,Tot_NOx_100m,Tot_traffic_100m,Av_NOx_200m,Av_traffic_200m,Building_200m,Open Area_200m,Residential_200m,Resource and Industrial_200m,Waterbody_200m,Parks and Recreational_200m,Government and Institutional_200m,Commercial_200m,Pop_200m,Roads_200m,Tot_NOx_200m,Tot_traffic_200m,Av_NOx_500m,Av_traffic_500m,Building_500m,Open Area_500m,Residential_500m,Resource and Industrial_500m,Waterbody_500m,Parks and Recreational_500m,Government and Institutional_500m,Commercial_500m,Pop_500m,Roads_500m,Tot_NOx_500m,Tot_traffic_500m,Av_NOx_1000m,Av_traffic_1000m,Building_1000m,Open Area_1000m,Residential_1000m,Resource and Industrial_1000m,Waterbody_1000m,Parks and Recreational_1000m,Government and Institutional_1000m,Commercial_1000m,Pop_1000m,Roads_1000m,Tot_NOx_1000m,Tot_traffic_1000m
11,11,611739,5050874,10,25.28316676,169.5399491,NA,2925.151541,NA,NA,NA,NA,NA,4908.175557,12.07338278,211.2585077,606.7960383,4068.958808,304.3591071,2379.385762,NA,14797.72675,NA,NA,NA,NA,NA,16577.21038,56.61257938,854.5816312,7304.618687,57105.25852,1154.51686,11552.83916,8945.815954,59440.11558,4269.25848,NA,NA,4748.254442,NA,57123.41055,269.9826203,3144.177812,27708.40427,277268.1388,4568.167884,79107.68891,109403.1314,278435.0826,176596.0366,40444.58648,NA,30354.28906,NA,259361.1784,2249.587856,17015.37488,109636.0298,1898584.521,10050.46192,114812.6758,508332.5739,462491.3919,1354066.317,490085.7073,NA,80365.04551,68317.44908,685851.0897,14337.71828,54444.31834,241211.0816,2755504.21
12,12,610435,5054487,11,2.675270058,16.09858732,775.0483386,NA,7833.327098,NA,NA,NA,NA,NA,56.87460816,99.87756251,64.2064847,386.3660958,13.02423266,118.5271185,2420.968449,NA,31374.93713,NA,NA,NA,NA,NA,230.2122303,635.8442199,312.5815968,2844.650833,47.67421691,479.3757721,6550.955418,NA,125581.0391,NA,NA,NA,NA,NA,896.8043346,2522.374286,1144.181246,11505.01849,342.5360473,3671.263758,32516.91961,252.7679093,750291.4701,4031.938961,NA,19710.80001,10904.19615,NA,4390.555606,13521.63181,8220.865184,88110.33015,1455.827459,14311.46528,236468.0044,158163.3831,2372567.169,527539.3074,NA,60938.55015,21968.59086,NA,14000.07905,47195.89954,34939.85872,343475.1673
13,13,610432,5055978,12,0.120099886,4.274153752,NA,NA,7833.327098,NA,NA,NA,NA,NA,40.47970067,161.6379915,2.882397276,102.5796869,1.433769238,17.53566133,NA,NA,31374.93713,NA,NA,NA,NA,NA,164.6185604,501.0980443,34.4104623,420.8558692,35.67061056,531.2135296,1437.550538,3089.988382,120855.2744,NA,NA,1635.776261,NA,NA,668.5557729,2371.909327,856.0946537,12749.12479,222.6451227,2935.795072,30487.17065,17853.87825,680625.9487,NA,3779.526422,12910.49224,70021.32757,NA,3893.75129,13091.00643,5343.483059,70459.08236,667.8155369,8090.143512,81527.51623,38569.19085,2164491.987,NA,669171.5863,105206.6063,163737.6298,NA,11377.03209,39407.86342,16027.57294,194163.445
14,14,611121,5056351,13,0.969022152,3.962026433,NA,NA,7833.327098,NA,NA,NA,NA,NA,54.45494189,214.0104447,23.25653282,95.08863549,2.556227712,10.55352516,34.70597096,NA,31374.93713,NA,NA,NA,NA,NA,182.8533716,492.8762856,61.34946815,253.2846069,56.7593005,1096.724136,1804.240302,3741.995759,121839.0433,NA,NA,NA,NA,NA,633.2774594,2304.8881,1362.223219,26321.37913,218.3616714,3554.525287,23582.35968,19993.44898,672176.0453,NA,NA,10780.95327,82240.72565,NA,3414.689163,12835.54474,5240.680134,85308.60672,648.31797,9020.713522,129515.0251,38929.47763,2405516.027,142776.1875,377017.4718,23691.44551,153246.3903,NA,11495.90861,45187.23956,15559.63137,216497.1248
15,15,608897,5054999,14,1.259471263,21.37548681,181.2647118,NA,6871.265454,NA,962.061644,NA,NA,NA,20.86243349,124.7062398,30.22731039,513.0116792,2.583043746,34.11028762,440.254613,NA,21698.12009,NA,9676.817043,NA,NA,NA,70.43236714,351.8256291,61.99304959,818.6468961,5.224545139,58.47732771,675.9356607,NA,67374.04889,NA,50987.46715,7219.523023,NA,NA,253.2466193,1042.057232,125.3890825,1403.455854,144.6483423,2045.30738,13608.62204,137209.5647,322860.5114,NA,239566.0113,85555.08581,NA,NA,1857.106719,6612.701423,3471.56006,49087.37729,614.7649737,7328.119068,95862.85804,268682.6883,1438943.947,NA,1245512.676,172190.8781,15846.81068,NA,9465.643686,27959.96773,14754.35921,175874.8584
16,16,607350,5053455,15,5.715090736,11.50046342,1225.695904,NA,2497.501793,5335.825305,NA,NA,NA,NA,85.67600022,95.49793027,137.1621656,276.01112,11.81373128,23.77274321,4355.283217,NA,12733.57229,18641.36484,NA,NA,NA,NA,332.8462748,197.4048955,283.5295259,570.5458326,29.40354199,172.4745586,26981.87917,2145.468516,50232.50082,52582.29127,19624.52811,NA,NA,996.2503413,1099.669724,968.6810859,705.6849703,4139.389376,234.3651159,2039.611098,126744.3363,16603.7195,209450.6176,249209.106,271878.4587,NA,NA,38049.27128,4861.767732,5894.833362,5624.762765,48950.66661,600.5500742,4701.073433,344158.5615,39381.28269,808328.0423,735455.9575,1338241.059,NA,181721.3874,38049.27128,14441.51658,22427.78463,14413.20159,112825.7627
17,17,607864,5051541,16,1.028488986,22.3495971,713.9270039,NA,7833.327098,NA,NA,NA,NA,NA,79.61571872,159.4742326,24.68373609,536.3903178,2.14387518,42.84567537,5333.379859,NA,28790.8228,NA,NA,2584.114328,NA,NA,336.5248254,486.7759924,51.45300456,1028.296185,185.0650097,1765.036416,14773.21793,4489.847544,83940.07699,7096.917122,NA,20492.8009,3881.900249,5679.496252,1106.189335,2098.493032,4441.560384,42360.87393,739.8270907,8012.228656,132656.5306,23381.96231,444932.9233,103482.2144,NA,55456.83805,49712.77675,108224.4583,5928.50844,11916.24309,17755.85044,192293.488,2115.938306,23021.1467,535745.3975,138098.4441,1689288.784,883258.064,NA,109106.9859,179660.5418,141764.18,21094.95515,44455.16946,50782.52005,552507.5205
18,18,605903,5050600,17,9.065459205,122.7651614,177.6663937,NA,7833.327098,NA,NA,NA,NA,NA,48.89234909,122.0163749,217.571025,2946.363943,18.28011584,303.4542138,1773.221183,208.5718579,31166.36527,NA,NA,NA,NA,NA,199.0257447,389.4623441,438.722784,7282.901304,34.7445477,671.6228246,3380.812445,224.0134485,110324.2917,NA,15032.73387,NA,NA,NA,747.4835566,1387.755033,833.869162,16118.94818,1644.480927,22166.98023,39133.14513,34144.5488,455902.1203,6439.664223,209184.3273,32340.53924,46459.89996,720.0733669,4117.921692,11421.54123,39467.54143,532007.5302,4388.680973,75887.93469,212575.4202,221138.4831,1939653.138,112337.2451,539823.0467,107492.7273,193490.6331,27241.72712,14552.95856,49030.97565,105328.3423,1821310.436
19,19,605890,5049824,18,NA,NA,232.8716599,NA,1744.902555,NA,NA,6088.424543,NA,NA,49.14343708,NA,NA,NA,31.26038918,333.6585559,444.3117391,2652.66822,12251.16959,552.2309531,NA,15918.86837,NA,NA,201.4106409,370.2457706,750.2493409,8007.805094,335.0442966,6023.210028,10397.15432,23404.9027,80420.11211,3537.781792,NA,18218.24246,NA,NA,1020.409824,3230.368784,8041.063092,144557.0396,1404.655177,29332.77551,64420.13516,53927.43991,618448.1114,3537.781792,22767.58855,20281.91237,66228.33912,NA,7104.355487,16258.77504,33711.72407,703986.6086,3332.303,53752.88885,215933.4717,95180.33112,1996424.019,58730.65233,558276.0137,99066.94165,291241.4282,42257.61378,21335.49491,47071.67392,79975.27109,1290069.333
20,20,606448,5048510,19,6.686070615,60.57808559,355.8180665,NA,2710.295354,2465.409273,NA,NA,2657.62247,NA,53.27045306,195.1513554,160.465693,1453.874074,19.59416758,181.07453,5441.240744,NA,11825.0738,12752.43133,NA,NA,6797.432002,NA,195.9143405,697.6600386,470.2600232,4345.788733,52.72313307,467.9246479,26503.18742,NA,55381.42704,56966.16882,NA,NA,13233.44319,NA,749.5821917,2140.006441,1265.355178,11230.1915,462.8571201,6932.742117,93263.41684,123852.8928,364183.4416,262731.3855,NA,3620.626339,30802.82685,NA,4732.309979,12435.1528,11108.57081,166385.8097,1835.376378,27226.8014,372221.4327,447116.732,1700504.523,665828.3807,NA,160408.1029,122452.7282,44866.53353,21527.39034,49684.21258,44049.03274,653443.2298
21,21,607446,5048889,20,10.24744095,81.26459457,2380.566209,NA,2768.959013,5064.368085,NA,NA,NA,NA,34.52286973,96.93546986,245.93857,1950.350254,25.9457668,210.9932515,8432.33576,NA,13341.80599,18033.13114,NA,NA,NA,NA,129.6499972,417.205193,622.6983855,5063.838008,55.86738292,552.1127447,37357.06694,NA,59663.00186,65918.0372,NA,NA,NA,NA,641.5651591,1692.431571,1340.817184,13250.70592,457.9217574,6691.902411,191032.0519,6429.210332,407505.5174,371256.4454,NA,NA,NA,NA,5284.023804,10442.14041,10990.12218,160605.657,1583.572911,25455.35256,554448.7332,400754.3466,1441549.347,1209480.598,NA,16228.25875,38469.69491,34694.75447,19814.97473,44329.81214,38005.74942,610928.4579
